page_url,category,subcategory,category_path
https://www.screwfix.com//c/electrical-lighting/wall-lights/cat840914,Electrical lighting,Wall lights,/c/electrical-lighting/wall-lights/cat840914
https://www.screwfix.com//c/electrical-lighting/work-lights/cat4780004,Electrical lighting,Work lights,/c/electrical-lighting/work-lights/cat4780004
https://www.screwfix.com//c/electrical-lighting/battens/cat3640003,Electrical lighting,Battens,/c/electrical-lighting/battens/cat3640003
https://www.screwfix.com//c/electrical-lighting/torches/cat4780002,Electrical lighting,Torches,/c/electrical-lighting/torches/cat4780002
https://www.screwfix.com//c/electrical-lighting/inspection-lamps/cat4780006,Electrical lighting,Inspection lamps,/c/electrical-lighting/inspection-lamps/cat4780006
https://www.screwfix.com//c/electrical-lighting/commercial-lighting/cat840784,Electrical lighting,Commercial lighting,/c/electrical-lighting/commercial-lighting/cat840784
https://www.screwfix.com//c/electrical-lighting/light-fittings/cat12410002,Electrical lighting,Light fittings,/c/electrical-lighting/light-fittings/cat12410002
https://www.screwfix.com//c/bathrooms-kitchens/showering/cat7310002,Bathrooms kitchens,Showering,/c/bathrooms-kitchens/showering/cat7310002
https://www.screwfix.com//c/bathrooms-kitchens/showers/cat820272,Bathrooms kitchens,Showers,/c/bathrooms-kitchens/showers/cat820272
https://www.screwfix.com//c/bathrooms-kitchens/shower-valves/cat820336,Bathrooms kitchens,Shower valves,/c/bathrooms-kitchens/shower-valves/cat820336
https://www.screwfix.com//c/bathrooms-kitchens/shower-pumps/cat820270,Bathrooms kitchens,Shower pumps,/c/bathrooms-kitchens/shower-pumps/cat820270
https://www.screwfix.com//c/bathrooms-kitchens/shower-screens/cat820004,Bathrooms kitchens,Shower screens,/c/bathrooms-kitchens/shower-screens/cat820004
https://www.screwfix.com//c/bathrooms-kitchens/shower-kits-riser-rails/cat820282,Bathrooms kitchens,Shower kits riser rails,/c/bathrooms-kitchens/shower-kits-riser-rails/cat820282
https://www.screwfix.com//c/bathrooms-kitchens/shower-hoses/cat820280,Bathrooms kitchens,Shower hoses,/c/bathrooms-kitchens/shower-hoses/cat820280
https://www.screwfix.com//c/bathrooms-kitchens/shower-heads/cat820278,Bathrooms kitchens,Shower heads,/c/bathrooms-kitchens/shower-heads/cat820278
https://www.screwfix.com//c/bathrooms-kitchens/shower-curtains-rails/cat820274,Bathrooms kitchens,Shower curtains rails,/c/bathrooms-kitchens/shower-curtains-rails/cat820274
https://www.screwfix.com//c/bathrooms-kitchens/shower-spares-parts/cat820276,Bathrooms kitchens,Shower spares parts,/c/bathrooms-kitchens/shower-spares-parts/cat820276
https://www.screwfix.com//c/bathrooms-kitchens/bathrooms/cat820010,Bathrooms kitchens,Bathrooms,/c/bathrooms-kitchens/bathrooms/cat820010
https://www.screwfix.com//c/bathrooms-kitchens/toilets-basins/cat9080002,Bathrooms kitchens,Toilets basins,/c/bathrooms-kitchens/toilets-basins/cat9080002
https://www.screwfix.com//c/bathrooms-kitchens/toilet-seats/cat820048,Bathrooms kitchens,Toilet seats,/c/bathrooms-kitchens/toilet-seats/cat820048
https://www.screwfix.com//c/bathrooms-kitchens/bathroom-accessories/cat820006,Bathrooms kitchens,Bathroom accessories,/c/bathrooms-kitchens/bathroom-accessories/cat820006
https://www.screwfix.com//c/bathrooms-kitchens/baths/cat820232,Bathrooms kitchens,Baths,/c/bathrooms-kitchens/baths/cat820232
https://www.screwfix.com//c/bathrooms-kitchens/bath-panels/cat820230,Bathrooms kitchens,Bath panels,/c/bathrooms-kitchens/bath-panels/cat820230
https://www.screwfix.com//c/bathrooms-kitchens/bathroom-furniture/cat820008,Bathrooms kitchens,Bathroom furniture,/c/bathrooms-kitchens/bathroom-furniture/cat820008
https://www.screwfix.com//c/bathrooms-kitchens/bathroom-taps/cat7310006,Bathrooms kitchens,Bathroom taps,/c/bathrooms-kitchens/bathroom-taps/cat7310006
https://www.screwfix.com//c/bathrooms-kitchens/taps/cat820012,Bathrooms kitchens,Taps,/c/bathrooms-kitchens/taps/cat820012
https://www.screwfix.com//c/bathrooms-kitchens/kitchen-taps/cat820368,Bathrooms kitchens,Kitchen taps,/c/bathrooms-kitchens/kitchen-taps/cat820368
https://www.screwfix.com//c/bathrooms-kitchens/commercial-taps/cat820222,Bathrooms kitchens,Commercial taps,/c/bathrooms-kitchens/commercial-taps/cat820222
https://www.screwfix.com//c/bathrooms-kitchens/reviver-kits-tap-spares/cat820108,Bathrooms kitchens,Reviver kits tap spares,/c/bathrooms-kitchens/reviver-kits-tap-spares/cat820108
https://www.screwfix.com//c/bathrooms-kitchens/commercial/cat7310033,Bathrooms kitchens,Commercial,/c/bathrooms-kitchens/commercial/cat7310033
https://www.screwfix.com//c/bathrooms-kitchens/hand-dryers/cat820224,Bathrooms kitchens,Hand dryers,/c/bathrooms-kitchens/hand-dryers/cat820224
https://www.screwfix.com//c/bathrooms-kitchens/commercial-basins/cat1470008,Bathrooms kitchens,Commercial basins,/c/bathrooms-kitchens/commercial-basins/cat1470008
https://www.screwfix.com//c/bathrooms-kitchens/urinals/cat5360004,Bathrooms kitchens,Urinals,/c/bathrooms-kitchens/urinals/cat5360004
https://www.screwfix.com//c/bathrooms-kitchens/drinking-fountains/cat3030002,Bathrooms kitchens,Drinking fountains,/c/bathrooms-kitchens/drinking-fountains/cat3030002
https://www.screwfix.com//c/heating-plumbing/toilet-flush-buttons/cat11430001,Heating plumbing,Toilet flush buttons,/c/heating-plumbing/toilet-flush-buttons/cat11430001
https://www.screwfix.com//c/heating-plumbing/commercial-extractors/cat840658,Heating plumbing,Commercial extractors,/c/heating-plumbing/commercial-extractors/cat840658
https://www.screwfix.com//c/bathrooms-kitchens/assisted-living/cat12590001,Bathrooms kitchens,Assisted living,/c/bathrooms-kitchens/assisted-living/cat12590001
https://www.screwfix.com//c/bathrooms-kitchens/grab-rails/cat820218,Bathrooms kitchens,Grab rails,/c/bathrooms-kitchens/grab-rails/cat820218
