page_url,category,subcategory,category_code
https://www.trade-point.co.uk/departments/dewalt-mixed-screwdriver-bits-l-220mm-40-pieces/5035048503706_TP.prd,Tools & equipment,Power tool accessories,TPW589074
https://www.trade-point.co.uk/departments/bg-100a-12-way-dual-rcd-consumer-unit/5050765194495_TP.prd,Electrical & security,Power distribution,TPW0002155
https://www.trade-point.co.uk/departments/palram-canopia-mythos-grey-6x6-greenhouse/7290108601039_TP.prd,Outdoor & garden,Greenhouses & growhouses,TPW581240
https://www.trade-point.co.uk/departments/goodhome-koros-silver-effect-wall-mounted-toilet-roll-holder-h-128mm-w-153mm/3663602674528_TP.prd,Bathroom,Bathroom accessories,TPW822393
https://www.trade-point.co.uk/departments/goodhome-kpezin-charcoal-fabric-dyed-light-shade-d-40cm/5059340019642_TP.prd,Lighting,Indoor lights,TPW579430
https://www.trade-point.co.uk/departments/verve-peat-free-multi-purpose-compost-50l/5063022070326_TP.prd,Outdoor & garden,Lawn & plant care,TPW581141
https://www.trade-point.co.uk/departments/smart-garden-black-round-plastic-hanging-basket-38-5cm/5050642049139_TP.prd,Outdoor & garden,Lawn & plant care,TPW581183
https://www.trade-point.co.uk/departments/fn-acustico-grey-concrete-veneer-acoustic-panel-l-2400mm-w-572-5mm-7-2kg/9010115274587_TP.prd,Painting & decorating,Wallpaper & wall coverings,TPW0002032
https://www.trade-point.co.uk/departments/goodhome-verdi-soft-pink-romantic-floral-matt-mural/5059340411132_TP.prd,Painting & decorating,Wallpaper & wall coverings,TPW1624654
https://www.trade-point.co.uk/departments/dewalt-18v-2-x-4-li-ion-brushless-cordless-combi-drill-dcd778m2t-gb/5035048723593_TP.prd,Tools & equipment,Power tools,TPW637279
https://www.trade-point.co.uk/departments/hotpoint-h2d71wuk-wh-7kg-freestanding-condenser-tumble-dryer-white/5054645631001_TP.prd,Kitchen,Kitchen appliances,TPW824244
https://www.trade-point.co.uk/departments/yale-satin-nickel-plated-single-euro-cylinder-lock-l-100mm-w-29mm/192255_TP.prd,Hardware,Locks & padlocks,TPW580693
https://www.trade-point.co.uk/departments/mac-allister-solo-18v-280mm-cordless-grass-trimmer-mgt1827-li/5059340239408_TP.prd,Outdoor & garden,Garden power tools,TPW0002123
https://www.trade-point.co.uk/departments/goodhome-aluminium-anti-slip-step-protector-l-900mm-w-35mm/3663602528814_TP.prd,Timber & joinery,Stairs & stair parts,TPW0002621
https://www.trade-point.co.uk/departments/plastic-interlocking-shed-base-w-49cm-x-l-49cm-pack-of-4/5060192725094_TP.prd,Outdoor & garden,Garden buildings,TPW585873
https://www.trade-point.co.uk/departments/dewalt-extreme-impact-torsion-14-piece-mixed-screwdriver-set/1716099_TP.prd,Tools & equipment,Hand tools,TPW2023223
https://www.trade-point.co.uk/departments/lap-white-b22-pendant-set-l-0-15mm/5059340189024_TP.prd,Lighting,Light fixtures & fittings,TPW579431
https://www.trade-point.co.uk/departments/klikstrom-uc4-natural-wooden-fence-post-h-2-4m-w-90mm/3663602432364_TP.prd,Outdoor & garden,Fencing,TPW581248
https://www.trade-point.co.uk/departments/walsall-pneumatic-wheel-dia-350mm-w-100mm/1790326_TP.prd,Hardware,Furniture hardware,TPW580670
https://www.trade-point.co.uk/departments/norton-120-grit-fine-metal-wood-hand-sanding-sheet-pack-of-5/3157629797006_TP.prd,Painting & decorating,Decorating tools & supplies,TPW2023279
https://www.trade-point.co.uk/departments/goodhome-1-heavy-duty-filling-knife/5059340015125_TP.prd,Painting & decorating,Decorating tools & supplies,TPW2023282
https://www.trade-point.co.uk/departments/master-lock-3066eurdat-black-polyester-ratchet-strap-set-pack-of-2/257811_TP.prd,Hardware,"Ropes, bungees, straps & chains",TPW580654
https://www.trade-point.co.uk/departments/goodhome-alpinia-matt-slate-grey-wood-effect-cornice-pelmet-h-35mm/5059340130200_TP.prd,Kitchen,Kitchen cabinets,TPW0002764
https://www.trade-point.co.uk/departments/manrose-white-pvc-flexible-ducting-hose-l-2-5m-dia-100mm/261981_TP.prd,Building supplies,Ventilation,TPW570334
https://www.trade-point.co.uk/departments/gro-sure-lawn-fertiliser-80m-3-2kg/910957_TP.prd,Outdoor & garden,Lawn & plant care,TPW581148
https://www.trade-point.co.uk/departments/klikstrom-tiama-pine-horizontal-slats-gate-h-1-8m-w-0-9m/5059340668833_TP.prd,Outdoor & garden,Fencing,TPW581246
https://www.trade-point.co.uk/departments/klikstrom-senner-6x4-ft-pent-grey-shed-with-floor-1-window/5059340844428_TP.prd,Outdoor & garden,Garden buildings,TPW581242
https://www.trade-point.co.uk/departments/triton-envi-duelec-gloss-chrome-effect-thermostatic-electric-shower-10-5kw/5012663158856_TP.prd,Bathroom,Showers,TPW822109
https://www.trade-point.co.uk/departments/goodhome-poprock-silver-wood-planks-wood-effect-self-adhesive-vinyl-plank-pack-of-8/3663602563396_TP.prd,Flooring & tiling,Flooring & underlay,TPW566440
https://www.trade-point.co.uk/departments/karcher-pressure-washer-foamer/580492_TP.prd,Outdoor & garden,Garden power tools,TPW0998449
https://www.trade-point.co.uk/departments/bosch-smv2itx18g-integrated-full-size-dishwasher-white/4242005275069_TP.prd,Kitchen,Kitchen appliances,TPW824233
https://www.trade-point.co.uk/departments/premium-square-pergola-beam-h-3000mm-w-90mm/5059340241357_TP.prd,Outdoor & garden,"Arches, arbours & pergolas",TPW585826
https://www.trade-point.co.uk/departments/hozelock-pond-liner-l-4m-w-3m/203756_TP.prd,Outdoor & garden,Watering,TPW581251
https://www.trade-point.co.uk/departments/metsa-wood-primed-white-mdf-chamfered-skirting-board-l-2-4m-w-119mm-t-14-5mm-pack-of-4/5022652849986_TP.prd,Timber & joinery,Wood trims,TPW0002681
https://www.trade-point.co.uk/departments/site-bronzite-unisex-black-charcoal-grey-safety-boots-size-12/5059340225449_TP.prd,Tools & equipment,Safety & workwear,TPW638867
https://www.trade-point.co.uk/departments/candy-new-timeless-fct405x-33702928-built-in-single-fan-oven-stainless-steel-effect/8016361985780_TP.prd,Kitchen,Kitchen appliances,TPW824239
https://www.trade-point.co.uk/departments/silver-effect-metal-lantern-w-14cm-x-d-14cm/5010795682324_TP.prd,"Home, furniture & storage",Home furnishings,TPW1726732
https://www.trade-point.co.uk/departments/magnusson-combination-spanners-set-of-25/1797832_TP.prd,Tools & equipment,Hand tools,TPW636245
https://www.trade-point.co.uk/departments/cooke-lewis-clfsmw20luk-20l-freestanding-microwave-matt-white/5059340213705_TP.prd,Kitchen,Kitchen appliances,TPW824243
https://www.trade-point.co.uk/departments/floplast-miniflo-black-112-5-offset-downpipe-bend-dia-50mm/81064_TP.prd,Building supplies,Guttering,TPW0002955
https://www.trade-point.co.uk/departments/the-house-nameplate-company-black-white-slate-rectangular-house-number-11-h-102mm-w-140mm/255155_TP.prd,Hardware,House signs,TPW580657
https://www.trade-point.co.uk/departments/blooma-moses-dark-grey-rectangular-gazebo-tent-h-2-33m-w-4m-d-3m/3663602419129_TP.prd,Outdoor & garden,"Arches, arbours & pergolas",TPW594239
https://www.trade-point.co.uk/departments/fatmax-deep-pro-black-yellow-organiser/162730_TP.prd,Tools & equipment,Tool storage,TPW638751
https://www.trade-point.co.uk/departments/richard-burbidge-flat-roof-door-canopy-h-1124mm-w-1736mm-d-661mm/42779_TP.prd,Timber & joinery,Door canopies,TPW0002702
https://www.trade-point.co.uk/departments/goodhome-white-wall-ceiling-primer-undercoat-10l/5036581057077_TP.prd,Painting & decorating,Primers & undercoat,TPW2023259
https://www.trade-point.co.uk/departments/mk-white-1-gang-master-telephone-socket/53994_TP.prd,Electrical & security,Telephones & accessories,TPW0002144
https://www.trade-point.co.uk/departments/erbauer-8-piece-reciprocating-saw-blade-s1531l-s644d-s922hf-s922ef/905082_TP.prd,Tools & equipment,Power tool accessories,TPW589073
